timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp;token
2023-08-15T00:00:00.000Z;2023-08-15T23:59:59.999Z;2023-08-15T00:14:00.000Z;2023-08-15T19:42:00.000Z;0.00331790963303;0.00332005317833;0.0029876401483;0.00306240946367;3642708.82;128143594.52;2023-08-15T23:59:59.999Z;Nervos Network
2023-08-14T00:00:00.000Z;2023-08-14T23:59:59.999Z;2023-08-14T10:02:00.000Z;2023-08-14T02:22:00.000Z;0.00327848353759;0.00335500922196;0.00323821223014;0.00331778658569;3122884.56;138789632.53;2023-08-14T23:59:59.999Z;Nervos Network
2023-08-13T00:00:00.000Z;2023-08-13T23:59:59.999Z;2023-08-13T19:37:00.000Z;2023-08-13T00:06:00.000Z;0.00314333805977;0.00327990359095;0.00314078654084;0.00327846680444;2912765.97;137088895.53;2023-08-13T23:59:59.999Z;Nervos Network
2023-08-12T00:00:00.000Z;2023-08-12T23:59:59.999Z;2023-08-12T18:04:00.000Z;2023-08-12T00:00:00.000Z;0.00306844234689;0.00315690021688;0.00306844234689;0.0031424313957;2011873.19;131363328.5;2023-08-12T23:59:59.999Z;Nervos Network
2023-08-11T00:00:00.000Z;2023-08-11T23:59:59.999Z;2023-08-11T04:40:00.000Z;2023-08-11T00:10:00.000Z;0.003048414934;0.0031061107423;0.00304308689403;0.00306847186008;2198972.55;128234950.37;2023-08-11T23:59:59.999Z;Nervos Network
2023-08-10T00:00:00.000Z;2023-08-10T23:59:59.999Z;2023-08-10T12:56:00.000Z;2023-08-10T00:54:00.000Z;0.0029972015333;0.00307420249238;0.00298986808412;0.00304798046355;2881586.41;127342528.88;2023-08-10T23:59:59.999Z;Nervos Network
2023-08-09T00:00:00.000Z;2023-08-09T23:59:59.999Z;2023-08-09T13:02:00.000Z;2023-08-09T19:57:00.000Z;0.00298627295407;0.00301265556755;0.00296218119523;0.00299720856971;2057709.15;125185991.4;2023-08-09T23:59:59.999Z;Nervos Network
2023-08-08T00:00:00.000Z;2023-08-08T23:59:59.999Z;2023-08-08T15:41:00.000Z;2023-08-08T02:25:00.000Z;0.00300812039743;0.00304130510956;0.00296298748379;0.00298578155588;2346668.78;124673358.94;2023-08-08T23:59:59.999Z;Nervos Network
2023-08-07T00:00:00.000Z;2023-08-07T23:59:59.999Z;2023-08-07T12:58:00.000Z;2023-08-07T07:01:00.000Z;0.0029459425858;0.00306822405136;0.00293387041026;0.00300838697589;3469639.26;125581338.48;2023-08-07T23:59:59.999Z;Nervos Network
2023-08-06T00:00:00.000Z;2023-08-06T23:59:59.999Z;2023-08-06T09:56:00.000Z;2023-08-06T01:10:00.000Z;0.00291884870366;0.00297747102565;0.00290021747504;0.00294602051819;2783745.76;122942476.75;2023-08-06T23:59:59.999Z;Nervos Network
2023-08-05T00:00:00.000Z;2023-08-05T23:59:59.999Z;2023-08-05T23:58:00.000Z;2023-08-05T02:01:00.000Z;0.00283170932855;0.00291896824008;0.00281254192586;0.00291881397378;3215391.93;121772486.72;2023-08-05T23:59:59.999Z;Nervos Network
2023-08-04T00:00:00.000Z;2023-08-04T23:59:59.999Z;2023-08-04T14:55:00.000Z;2023-08-04T08:59:00.000Z;0.00281705644142;0.00284759231959;0.0027937690714;0.00283166688614;2250476.43;118102437.31;2023-08-04T23:59:59.999Z;Nervos Network
2023-08-03T00:00:00.000Z;2023-08-03T23:59:59.999Z;2023-08-03T14:56:00.000Z;2023-08-03T09:13:00.000Z;0.00280227938877;0.00284084787852;0.00279261182098;0.00281708413654;2062070.76;117460627.55;2023-08-03T23:59:59.999Z;Nervos Network
2023-08-02T00:00:00.000Z;2023-08-02T23:59:59.999Z;2023-08-02T01:32:00.000Z;2023-08-02T17:01:00.000Z;0.00284087043994;0.00286050763658;0.00277956957397;0.00279818071602;2198939.91;116638819.69;2023-08-02T23:59:59.999Z;Nervos Network
2023-08-01T00:00:00.000Z;2023-08-01T23:59:59.999Z;2023-08-01T23:56:00.000Z;2023-08-01T03:42:00.000Z;0.0027732278267;0.00284168968304;0.00273958137267;0.00284069747875;2784213.5;118377157.17;2023-08-01T23:59:59.999Z;Nervos Network
2023-07-31T00:00:00.000Z;2023-07-31T23:59:59.999Z;2023-07-31T02:49:00.000Z;2023-07-31T20:49:00.000Z;0.00277073663818;0.00281907230549;0.0027462698692;0.0027732636477;2054090.71;115534134.29;2023-07-31T23:59:59.999Z;Nervos Network
2023-07-30T00:00:00.000Z;2023-07-30T23:59:59.999Z;2023-07-30T02:11:00.000Z;2023-07-30T20:17:00.000Z;0.00282603674512;0.00283349516841;0.00274818039536;0.00277062474367;2120320.08;115391100.11;2023-07-30T23:59:59.999Z;Nervos Network
2023-07-29T00:00:00.000Z;2023-07-29T23:59:59.999Z;2023-07-29T23:56:00.000Z;2023-07-29T12:48:00.000Z;0.00281539778636;0.00282688817392;0.00279701407553;0.00282570148631;1910132.03;117652079.12;2023-07-29T23:59:59.999Z;Nervos Network
2023-07-28T00:00:00.000Z;2023-07-28T23:59:59.999Z;2023-07-28T20:37:00.000Z;2023-07-28T05:55:00.000Z;0.00279210184701;0.00282705109509;0.0027620193719;0.00281538677638;1852705.56;117188287.13;2023-07-28T23:59:59.999Z;Nervos Network
2023-07-27T00:00:00.000Z;2023-07-27T23:59:59.999Z;2023-07-27T12:02:00.000Z;2023-07-27T00:16:00.000Z;0.00274942967593;0.00282361913688;0.00274703946997;0.00279216233322;2076055.84;116188729.56;2023-07-27T23:59:59.999Z;Nervos Network
