fecha,hora,portafolio,token,symbol,precio,1h,24h,7d,tendencia_7d,market_cap,volumen_usd,tokens_movidos,suministro_circulante
11/05/2025,22:58:55,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,Polyhedra Network,ZKJ,"2,18 US$",-0.03,-0.63,2.57,positivo,"$638,796,142","$363,803,095",166.82M ZKJ,292.86M ZKJ
11/05/2025,22:58:55,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,ZKsync,ZK,"0,07649 US$",-0.14,-3.45,41.79,positivo,"$281,121,921","$53,090,713",698.03M ZK,3.67B ZK
11/05/2025,22:58:56,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,Astar,ASTR,"0,03143 US$",0.63,-4.06,15.5,positivo,"$240,649,433","$13,180,329",419.26M ASTR,7.65B ASTR
11/05/2025,22:58:56,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,Babylon,BABY,"0,09653 US$",-1.68,1.65,8.72,positivo,"$221,445,071","$83,947,101",869.64M BABY,2.29B BABY
11/05/2025,22:58:56,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,Casper,CSPR,"0,01694 US$",0.4,-3.15,24.1,positivo,"$221,443,208","$112,418,512",6.70B CSPR,13.06B CSPR
11/05/2025,22:58:56,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,Big Time,BIGTIME,"0,08371 US$",-0.33,-0.92,19.29,positivo,"$157,891,396","$34,994,866",419.81M BIGTIME,1.88B BIGTIME
11/05/2025,22:58:56,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,Metis,METIS,"21,79 US$",-0.76,-7.63,48.06,positivo,"$138,986,547","$37,591,080",1.72M METIS,6.37M METIS
11/05/2025,22:58:56,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,Yield Guild Games,YGG,"0,2388 US$",0.59,-2.34,28.54,positivo,"$122,505,251","$19,421,795",81.62M YGG,512.92M YGG
11/05/2025,22:58:57,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,WAX,WAXP,"0,02660 US$",0.11,-1.48,15.3,positivo,"$116,554,725","$5,964,445",224.17M WAXP,4.38B WAXP
11/05/2025,22:58:57,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,BounceBit,BB,"0,1702 US$",1.67,-1.2,49.05,positivo,"$89,058,645","$16,956,943",100.44M BB,523.13M BB
11/05/2025,22:58:57,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,MyShell,SHELL,"0,2677 US$",-0.54,8.35,60.06,positivo,"$74,888,274","$37,001,104",138.17M SHELL,279.66M SHELL
11/05/2025,22:58:57,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,Aurora,AURORA,"0,09774 US$",0.09,-5.44,11.63,positivo,"$58,764,602","$655,659",6.70M AURORA,601.2M AURORA
11/05/2025,22:58:57,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,Renzo,REZ,"0,01662 US$",0.77,-2.47,32.44,positivo,"$46,140,972","$87,850,541",5.28B REZ,2.77B REZ
